id,idt1,idt2
0,0,0
1,10,11
2,20,21
3,30,31
4,40,41
5,50,51
6,60,61
7,70,71
8,80,81
9,90,91
10,100,101
11,110,111
12,120,121
13,130,131
14,140,141
15,150,151
16,160,161
17,170,171
18,180,181
19,190,191
20,200,201
21,210,211
22,220,221
23,230,231
24,240,241
25,250,251
26,260,261
27,270,271
28,280,281
29,290,291
30,300,301
31,310,311
32,320,321
33,330,331
34,340,341
35,350,351
36,360,361
37,370,371
38,380,381
39,390,391
40,400,401
41,410,411
42,420,421
43,430,431
44,440,441
45,450,451
46,460,461
47,470,471
48,480,481
49,490,491
50,500,501
51,510,511
52,520,521
53,530,531
54,540,541
55,550,551
56,560,561
57,570,571
58,580,581
59,590,591
60,600,601
61,610,611
62,620,621
63,630,631
64,640,641
65,650,651
66,660,661
67,670,671
68,680,681
69,690,691
70,700,701
71,710,711
72,720,721
73,730,731
74,740,741
75,750,751
76,760,761
77,770,771
78,780,781
79,790,791
80,800,801
81,810,811
82,820,821
83,830,831
84,840,841
85,850,851
86,860,861
87,870,871
88,880,881
89,890,891
90,900,901
91,910,911
92,920,921
93,930,931
94,940,941
95,950,951
96,960,961
97,970,971
98,980,981
99,990,991
100,1000,1001
101,1010,1011
102,1020,1021
103,1030,1031
104,1040,1041
105,1050,1051
106,1060,1061
107,1070,1071
108,1080,1081
109,1090,1091
110,1100,1101
111,1110,1111
112,1120,1121
113,1130,1131
114,1140,1141
115,1150,1151
116,1160,1161
117,1170,1171
118,1180,1181
119,1190,1191
120,1200,1201
121,1210,1211
122,1220,1221
123,1230,1231
124,1240,1241
125,1250,1251
126,1260,1261
127,1270,1271
128,1280,1281
129,1290,1291
130,1300,1301
131,1310,1311
132,1320,1321
133,1330,1331
134,1340,1341
135,1350,1351
136,1360,1361
137,1370,1371
138,1380,1381
139,1390,1391
140,1400,1401
